AmountSaved,저장된 금액
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, 승인을 위해 계산 통로로 이동해 주세요
DisableRapApprovalText, RAP 승인 비활성화
DisableHHRapApprovalText, HHRAP 승인 비활성화
UpdateItemButtonText,상품 업데이트
SuspendConfirmationTitle,보류 확인
DoNotApproveButtonText,승인 금지
SmVoidAndRemoveItemLeadthru,장바구니 영역에서 취소된 상품을 제거해 주십시오.
RestrictedItemsNotApprovedTitle,제한 상품 - 승인되지 않음
HH_AssistAtLaneLeadthru,상품 무효화를 위해 계산 통로로 이동해 주세요.
XM_Acceptor,투입 장치
XM_CashStatus,현금 상태
XM_CashStatusLeadthru,원하는 기능을 선택하십시오.
XM_CoinAcceptor,동전 수납 장치
XM_CoinOverflow,동전 넘침
XM_CoinOverflowText,넘침 상자
XM_CoinRecycler,동전 재순환 장치
XM_Coins,동전
XM_NoteOverflow,지폐 넘침
XM_NoteOverflowText,현금 상자
XM_NoteRecycler,지폐 재순환 장치
XM_Notes,지폐
XM_PurgeOperationText,방출 작업
XM_TerminalNumber,터미널 번호
XM_TotalCount,총 카운트:
XM_TotalValue,총합:
XM_CoinsSubtotal,동전 중간 합계:
XM_NotesSubtotal,지폐 중간 합계:
XM_GrandTotal,총합:
XM_PurgeInstruction, 방출 작업:  거부된 지폐 발견. 계산 통로로 가서 장치를 점검해 주십시오.
XM_RAP_NegativeAlert,Negative number found. 계산 통로로 가서 장치를 점검해 주십시오.
XM_AreYouSure,아래 나열된 작업을 실행하시겠습니까
XM_Attendant,안내 직원
XM_Backspace,백스페이스
XM_BillAcceptor,지폐 수납 장치
XM_BillDispenser,지폐 지급 장치
XM_Bins,상자
XM_BothDispenseFailure,%s 지급 실패.\n현금 부족 또는 지급 장치 에러.
XM_CancelChanges,변경 취소
XM_CannotCompleteTransfer,전송을 완료할 수 없습니다. 현금 상자에 충분한 공간이 없습니다. 이 작업을 수행하기 전에 먼저 현금 상자를 비워 주십시오.
XM_CashManagement,지폐 관리
XM_CashManagementReport,현금 관리 보고서
XM_CashRemove,현금 제거
XM_CashRemoveLeadthru,원하는 기능을 선택하십시오.
XM_CashReplenishLeadthru,원하는 기능을 선택하십시오.
XM_CashReplenishLeadthru1,동전 삽입 또는 기능 선택
XM_CashReplenishLeadthru2, 현금 삽입 또는 기능 선택
XM_CashReplenishLeadthru3,작업을 완료하면 ‘나가기’를 눌러 주십시오.
XM_CashReplenishment,현금 추가
XM_ChangeInCount,수량 변경
XM_ChangeInValue,수치 상 변화
XM_Clear,삭제
XM_ClearPrompt1,완료하면 다른 기능을 선택하거나 ‘나가기’를 선택하십시오.
XM_ClearPrompt2,다른 기능을 선택하거나 ‘나가기’를 선택하십시오.
XM_CoinAcceptorOffline,수납 장치 응답하지 않음.\n\n터미널을 종료한 다음 다시 시작해 주십시오.
XM_CoinDispenseFailure,%s 지급 실패.\n동전 부족 또는 동전 지급 장치 에러.
XM_CoinDispenser,동전 지급 장치
XM_CoinManagement,동전 관리
XM_ConfirmAction,작업 확인
XM_ConfirmCoinDispense,* 동전 지급\n지급할 금액: %s\n지급 카운트: %d
XM_ConfirmEmptyCoinAcceptor,* 동전 수납 장치 카운트를 0으로 재설정 제거할 금액:%s
XM_ConfirmEmptyCoinOverflow,* 동전 넘침 카운트를 0으로 재설정 제거할 금액:%s
XM_ConfirmEmptyNoteAcceptor,* 지폐 수납 장치 카운트를 0으로 재설정 제거할 금액:%s
XM_ConfirmEmptyNoteOverflow,* 현금 상자 카운트를 0으로 재설정 제거할 금액:%s
XM_ConfirmFillLoaderCassette,* 지폐 카운트 설정\n새로운 금액: %s\n새 카운트: %d
XM_ConfirmManualCoinEmpty,* 동전 카운트를 0으로 재설정\n제거할 금액: %s\n제거 카운트: %d
XM_ConfirmManualCoinFill,* 동전 카운트 설정\n새로운 금액: %s\n새 카운트: %d
XM_ConfirmManualNoteEmpty,* 지폐 카운트를 0으로 재설정\n제거할 금액: %s\n제거 카운트: %d
XM_ConfirmManualNoteFill,* 지폐 카운트 설정\n새로운 금액: %s\n새 카운트: %d
XM_ConfirmNoteDispense,* 지폐 지급\n지급할 금액: %s\n지급 카운트: %d
XM_ConfirmTransferNotesToOverflow, * 지폐를 현금 상자로 전송\n전송할 금액: %s\n전송 카운트: %d
XM_Count,카운트
XM_DispenseCupFull,동전 반환 장치가 가득찼습니다.  지급을 완료하기 위해서 동전을 제거해 주십시오.
XM_DispenseCupFullPreemptive, 동전을 받기\n동전 반환 장치가 가득 찼다면  비움. 비우기 전까지 지급이 일시정지.
XM_DispenseFullPreemptive,지폐와 동전 받기 지폐는 15장 묶음으로 지급. 지폐를 받기 전까지 지급이 일시정지. 동전 반환 장치가 가득 찼다면 즉시 비움. 비우기 전까지 지급이 일시정지.
XM_DispenseNoteFullPreemptive, 지폐 받기 지폐는 15장 묶음으로 지급. 받기 전까지 지급이 일시정지.
XM_DispenseSensorBlock,동전 반환구가 가득 찼거나 센서가 고장났습니다. 동전을 제거하거나 서비스 부서에 연락하십시오.
XM_DispenseText,지급
XM_DispenseThreshold,투입된 숫자가 지급 가능한 액수를 초과했습니다.  최대 가능한 액수가 입력되었습니다: %d
XM_Empty,비우기
XM_EmptyCashAcceptorLT,현금 수납 장치에서 현금 제거하기
XM_EmptyCashBoxLT,현금 상자에서 현금 제거
XM_EmptyCoinAcceptor,동전 수납 장치 재설정
XM_EmptyCoinAcceptorLT,동전 수납 장치에서 동전 제거
XM_EmptyCoinHopperLT,장치에서 동전 제거.
XM_EmptyCoinOverflow,동전 넘침 재설정
XM_EmptyCoinOverflowLT,동전 넘침 상자에서 동전 제거
XM_EmptyLoaderCassetteLT,로더 카세트에서 지폐 제거
XM_EmptyNoteAcceptor,지폐 수납 장치 재설정
XM_EmptyNoteCassetteLT,지폐 카세트와 방출 상자에서 지폐를 제거하십시오
XM_EmptyNoteOverflow,현금 상자 재설정
XM_Enter,입력
XM_ExceededAmount,금액이 용량을 초과했습니다. 필요한 최대 금액은 %s입니다.
XM_ExceededCapacity,금액이 용량을 초과했습니다. 필요한 최대 금액은 %d입니다.
XM_Execute,변경 적용
XM_Exit,나가기
XM_FastLaneReport,NCR SelfServ Checkout 보고서
XM_FillLoaderCassette,지폐 계산 설정
XM_GoBack,뒤로 이동
XM_ID,출납 직원 ID
XM_IDPrompt,ID 입력 후 ‘입력’ 누름.
XM_InvalidAmount,%s에 대해 입력된 값이 올바르지 않습니다.\n다시 입력해 주십시오.
XM_KeyPadEnterCoinAmount,키패드를 이용해서 %s 동전에 대한 금액 입력
XM_KeyPadEnterCoinCount,키패드를 이용해서 %s 동전에 대한 개수 입력
XM_KeyPadEnterNoteAmount,키패드를 이용해서 %s 지폐에 대한 금액 입력
XM_KeyPadEnterNoteCount,키패드를 이용해서 %s 지폐에 대한 개수 입력
XM_KeyPadInstr,키패드로 개수 입력
XM_ManualBothFillAlert,계산 통로 문을 열고 카세트에 지폐를 넣고 깔대기형 동전 상자에 동전을 넣어 주십시오. 수납 장치에 투입하지 마십시오.
XM_ManualBothRecyclerFillAlert,계산 통로 문을 열고 로더에 지폐를 넣고 깔대기형 동전 상자에 동전을 넣어 주십시오. 수납 장치에 투입하지 마십시오.
XM_ManualCoinDispenserEmpty,동전 계산 재설정
XM_ManualCoinDispenserFill,동전 계산 설정
XM_ManualCoinFillAlert,계산 통로 문을 열고 장치에 동전을 바로 넣어 주십시오. 동전 수납 장치에 투입하지 마십시오.
XM_ManualEmptyAlert,장치에서 모든 현금 제거.
XM_ManualFillAlert,계산 통로 문을 열고 장치에 현금을 바로 넣어 주십시오. 수납 장치에 투입하지 마십시오.
XM_ManualNoteDispenserEmpty,지폐 계산 재설정
XM_ManualNoteDispenserFill,지폐 계산 설정
XM_ManualNoteFillAlert,계산 통로 문을 열고 카세트에 지폐를 바로 넣어 주십시오. 지폐 수납 장치에 투입하지 마십시오.
XM_ManualNoteRecyclerFillAlert,계산 통로 문을 열고 로더에 지폐를 바로 넣어 주십시오. 지폐 수납장치에 넣지 마십시오.
XM_No,아니요
XM_NoteDispenseFailure,%s 지급 실패.\n지폐 부족 또는 지폐 지급 장치 에러.
XM_PW,출납 직원 패스워드
XM_PWPrompt,패스워드 입력 후 ‘입력’ 누름.
XM_PendingText,보류 중
XM_PleaseWait,처리 중...\n잠시만 기다려 주십시오.
XM_Print,현금 상태 인쇄
XM_PurgeCoinRecycler,동전 순환 장치 방출
XM_PurgeNoteRecycler,지폐 순환 장치 방출
XM_ReEnter,부정확한 출납 직원 번호 및 패스워드.\n다시 시도해 주십시오
XM_ResetCoinsToBaseLevel,베이스 레벨로 동전 지급
XM_ResetNotesToBaseLevel,베이스 레벨까지 지폐 전송
XM_SelectFunc1,시스템 기능 선택
XM_SelectFunc2,원하는 기능을 선택하십시오.
XM_StoreNumber,매장 번호:
XM_TransferAllNotes,모든 지폐 전송
XM_TransferNotesToOverflow,현금 상자로 지폐 전송
XM_Update,업데이트
XM_Yes,예
XM_CardManagement,카드 관리
XM_SequenceNumber,일련 번호
XM_TotalCoinsInserted,삽입된 총합
XM_TotalNotesInserted,삽입된 총합
XM_Value,값
XM_TransferXCount,전송 (x) 카운트
XM_TransferXAmount,전송 (x) 금액 
XM_TransfertoCashBoxLeadThruText,"지폐 %s 을(를) 현금 상자에 전송하려면 ""변경 적용""을 눌러 주십시오. 보류 중인 모든 변경을 취소하려면 “변경 취소""를 눌러 주십시오."
XM_MenuDispenseFunctions, 지급 기능
XM_MenuResetFunctions, 재설정 기능
XM_MenuCashBoxTransfer,현금 상자 전송
XM_LeadThruCashBoxTransfer,필요한 전송 기능 선택. 완료되면 ‘변경 적용’.
XM_LeadThruResetFunction,필요한 재설정 기능 선택. 완료되면 ‘변경 적용’.
XM_LeadThruDispenseFunction,액면가를 누르고 금액을 입력하거나 ”베이스 레벨로 동전 지급” 누름.
XM_PurgeInstructionRecycler," 방출 작업:  거부된 지폐 발견.  현금 상자에서 거부된 지폐 제거.  ""모든 지폐 전송""을 누른 후 “현금 상자 재설정”을 눌러 경고 해제."
XM_PurgeInstructionNonRecycler,"방출 작업: 거부된 지폐 발견.  방출 상자에서 거부된 지폐 제거.  ""지폐 카운트 재설정""을 눌러서 경고 해제."
XM_ReplenishInstruction,현금을 넣거나 액면가를 선택한 후 금액을 입력하거나 카운트 설정. 완료되면 “변경 적용”.
XM_PickUpAutoAmount,픽업 자동 금액
XM_PickUpXAmount,픽업 (x) 자동 금액
XM_MenuPickUpFunctions,픽업 기능
XM_LeadThruPickUpFunction,필요한 픽업 기능 선택. 완료되면 “변경 적용”.
XM_KeyPadEnterPickUpAmount,키패드를 이용해서 픽업 금액 입력.
XM_InvalidPickUpAmount,입력한 값이 전송 또는 지급 가능한 금액보다도 더 큽니다.
XM_InvalidStartingBank,구성된 시작 은행이 전송 또는 지급 가능한 금액보다도 더 큽니다.
XM_CalculatedPickUpAmount,계산된 픽업 금액은 %s 입니다.
XM_UnableToPickUp,픽업 수행 불가능.
XM_CoinAllowedDispenseExceeded,동전 %d 개 지급 시도 중. 지급 가능한 최대 동전 개수는 %d 개입니다.
XM_InvalidPickUpAmount2,현금 상자와 동전 넘침 상자 내 금액이 픽업 금액보다 큽니다.
XM_LockScreen,화면 잠금
XM_SystemBusy,시스템 사용 중… 잠시만 기다려 주십시오
XM_AreYouSure_LockScreen,화면을 잠그시겠습니까? \n장치가 작업을 완료하기 전까지 화면을 잠글 수 없습니다.
XM_NegativeAlert,"음수 발견. 가능한 원인: 키 입력 에러 발생 또는 로더 카세트에 지폐가 있지만,현금 관리에 이 지폐 수가 입력되지 않았습니다.\n\n해결을 위해 아래 단계를 따라 주십시오:\n1. ‘현금 추가’를 선택합니다. \n2. 음수로 표시된 지폐 종류를 터치합니다. \n3. 음수 대신 정확한 달러 금액 또는 로더에 있는 금액을 입력합니다. \n4. ‘변경 적용’을 선택합니다. \n5. ‘예’를 선택해서 확인한 후 나갑니다."
XM_AddCashLeadthru1,동전을 삽입하거나 실린더를 터치한 후 금액을 입력하거나 카운트를 설정합니다.
XM_AddCashLeadthru2,현금을 삽입하거나 실린더를 터치한 후 금액을 입력하거나 카운트를 설정합니다.
XM_AddCashLeadthru3,실린더를 터치하고 금액을 입력하거나 카운트를 설정하십시오.
XM_CoinHopperEmpty,동전 수를 0으로 재설정하려면 동전 깔대기 상자를 비워야 합니다.  ‘변경 적용’을 누르기 전에 각 동전 깔대기 상자를 비우십시오.
XM_CollectRemainingCoins,지급이 완료되면 동전 반환부에서 모든 동전을 제거하십시오.
XM_FPIDPrompt,사용자 ID를 입력하고 ‘입력’을 누르거나 손가락을 지문 인식 장치에 위치시켜서 로그인합니다.
XM_LoanFailure,대출 실패
XM_LoanFailureLeadthru,대출이 거부되었습니다. 원하는 기능을 선택하십시오.
XM_UndoLoan,대출 취소
XM_CommitLoan,대출 수행
XM_PickUpFailure,픽업 실패
XM_PickUpFailureLeadthru,픽업이 거부되었습니다. 원하는 기능을 선택하십시오.
XM_UndoPickUp,픽업 취소
XM_CommitPickUp,픽업 수행
XM_ManualRemoveCashAlert,현금 상자에서 현금을 제거하고 동전 넘침 상자에서 동전을 제거해서 대출을 취소해 주십시오.\n\n지폐\n제거하기 위해 수량 계산: %d\n제거할 수량: %s\n\n동전s\n제거하기 위해 수량 계산: %d\n제거할 수량: %s
XM_POSRejectedLoanPickUp,POS 대출/픽업 거부함:  %s / %d  거부함.\n
XM_LoanPickUpCashierOverrides,출납 직원 ID %s 대출/픽업 오버라이드: %s / %d  수행.\n\n
XM_PlaceJammedBill,현금 상자를 제거하고 내부에 걸려 있는 모든 지폐들을 찾아 주십시오.
MinMaxFastLaneBtnPrimaryTxt, SelfServ Checkout 최소화
MinMaxFastLaneBtnSecondaryTxt, SelfServ Checkout 최대화
MinMaxFastLaneBtnPrimaryShowConfirmation,SelfServ Checkout을 최소화하려면 ‘SelfServ Checkout 최소화’ 단추를 눌러 주십시오.
MinMaxFastLaneBtnSecondaryShowConfirmation,SelfServ Checkout을 최대화하려면 ‘SelfServ Checkout 최대화’ 단추를 눌러 주십시오.
StopStartFastLaneBtnPrimaryTxt,SelfServ Checkout 정지
StopStartFastLaneBtnSecondaryTxt,SelfServ Checkout 다시 시작
SwitchToRAPBtnPrimaryTxt, RAP으로 전환
ShutdownSystemBtnPrimaryTxt,전체 시스템 종료
RebootSystemBtnPrimaryTxt,전체 시스템 다시 시작
VolumeBtnPrimaryTxt,볼륨 제어
EventViewerBtnPrimaryTxt,이벤트 뷰어
GenerateLogBtnPrimaryTxt,진단 로그 파일 생성
ExitFastLaneAndRunProfileBtnPrimaryTxt, SelfServ Checkout 정지 후 프로파일 관리자 실행
ExitFastLaneAndRunProfileBtnSecondaryTxt,프로파일 관리자 실행
TerminalInfoBtnPrimaryTxt,터미널 정보
MinMaxRAPBtnPrimaryTxt,RAP 최소화
MinMaxRAPBtnSecondaryTxt,RAP 최대화
MinMaxRAPBtnPrimaryShowConfirmation,RAP을 최소화하려면 ‘RAP 최소화’ 단추를 눌러 주십시오.
MinMaxRAPBtnSecondaryShowConfirmation,RAP을 최대화하려면 ‘RAP 최대화’ 단추를 눌러 주십시오.
StopStartRAPButtonPrimaryTxt,RAP 정지
StopStartRAPButtonSecondaryTxt,RAP 다시 시작
RapConfigureBtnPrimaryTxt,RAP 구성
SwitchToFastLaneBtnPrimaryTxt, SelfServ Checkout으로 전환
ExitRAPAndRunProfileBtnPrimaryTxt,RAP을 종료하고 프로파일 관리자 실행
ExitRAPAndRunProfileBtnSecondaryTxt,프로파일 관리자 실행
UtilityFunctionsTitle,NCR SelfServ Checkout\n유틸리티 기능
StartTitle,시스템 시작
SystemStartup,시스템 시작… 잠시만 기다려 주십시오
TerminalID,터미널 ID: 
InterfaceVersion,소프트웨어 버전:
TrainingProgramPrimaryTxt,교육 프로그램
LaunchPadNet_OperatorIDText,오퍼레이터 ID: 
KeySwitchOperatorID,키 잠금
LaunchPadNet_SignOnButtonText,사인 온
LaunchPadNet_SignOffButtonText,사인 오프
SignedOffButtonText,사인 오프
Exit,모두 나가기
LaunchPadNet_ReturnToShoppingButtonText,반납
PickListEditor,선택 목록 편집기
RunADDTxt,다음 다시 시작 시 ADD 실행
TouchWareTxt,터치 스크린 조정
DiagConfirm,진단 로그 파일을 생성하시겠습니까?
ProfileManagerFLConfirm,SelfServ Checkout을 정지시킨 후 프로파일 관리자를 실행하시겠습니까?
ProfileManagerRAPConfirm,RAP를 정지시킨 후 프로파일 관리자를 실행하시겠습니까?
ProfileManagerConfirm,프로파일 관리자를 시작하시겠습니까?
EventViewerConfirm,이벤트 뷰어를 시작하시겠습니까?
TrainingConfirm,교육 프로그램을 시작하시겠습니까?
PicklistConfirm,Picklist 편집기를 시작하시겠습니까?
RunADDConfirm,다음에 다시 시작할 때 ADD를 실행시키시겠습니까?
CalibrateConfirm,터치 스크린을 조정하시겠습니까?
ShutdownConfirm,전체 시스템을 종료하시겠습니까?
RebootConfirm,전체 시스템을 다시 시작하시겠습니까?
CloseAllConfirm,모든 응용 프로그램을 종료하고 바탕화면으로 이동하시겠습니까?
VolumeConfirm,볼륨 제어 기능을 조절하시겠습니까?
TerminalInfoConfirm,터미널 정보를 보시겠습니까?
StopFastLaneConfirm,SelfServ Checkout을 정지시키시겠습니까?
StopRAPConfirm,RAP를 정지시키시겠습니까?
StartFastLaneConfirm,SelfServ Checkout 다시 시작?
StartRAPConfirm,RAP 다시 시작?
WindowsLogOnTxt,로그온Windows
WindowsLogOnConfirm,모든 응용 프로그램을 종료하고 새로운 사용자로 로그온Windows 하시겠습니까?
YesText,예
NoText,취소
CommandPromptPrimaryTxt,명령 프롬프트
CommandPromptConfirm,명령 프롬프트를 시작하시겠습니까?
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,Retail Systems Manager LE를 시작하시겠습니까?
OperatorRegistrationUtility,오퍼레이터 등록 유틸리티
LaunchPadNet_EnterIDFpLeadthru,사용자 ID를 입력하고 ‘입력’을 누르거나 손가락을 지문 인식 장치에 위치시켜서 로그인합니다.
LaunchPadNet_ReEnterIDFpLeadthru,잘못된 로그인. 키패드나 지문을 이용해서 다시 로그인해 주십시오.
LaunchPadNet_ClearButtonText,삭제
LaunchPadNet_EnterButtonText,입력
LaunchPadNet_GoBackButtonText,뒤로 이동
LaunchPadNet_SpaceButtonText,스페이스
LaunchPadNet_BackSpaceButtonText,백스페이스
LaunchPadNet_EnterIDLeadthru,아래의 키패드를 이용해서 ID를 입력하십시오:
ReEnterIDLeadthru,잘못된 ID 또는 패스워드. 아래의 키패드를 이용해서 다시 입력해 주십시오.
LaunchPadNet_EnterPasswordLeadthru,아래의 키패드를 이용해서 패스워드를 입력하십시오:
CancelButtonText,취소
LaunchPadNet_LoggingInLeadthru,로그인 중… 잠시만 기다려 주십시오
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,사인 오프
LaunchPadNet_ReEnterIDLeadthru,잘못된 ID 또는 패스워드. 아래의 키패드를 이용해서 다시 입력해 주십시오.
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
SignBelow,아래에 서명하십시오.
AlertStatusTextOff,
AlertStatusTextOn,!!!
PageIndicatorLabelFormat,페이지 {0} / {1}
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
InitialText,.
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_Cassette,Cassette
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_Collect,Collect
XM_CollectFailure,The collect operation resulted in failure.
XM_EmptyCassetteAndRejectBin,Remove bills from Bill Cassettes and Reject Bin.
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
XM_GrandTotalText,Grand Total: %s
XM_InitializeError,The system encounters an error to be corrected.
XM_LeadThruGloryFunction,"Touch denomination and enter amount or touch ""Collect""."
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s
XM_NegativeAlert_Remove,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
XM_OperatorID,Operator ID %s
XM_TotalAddedText,Total Added: %s
XM_TotalColectedText,Total Collected: %s
XM_TotalRemovedText,Total Removed: %s
DueCart,기한
ScotApp_1742,부적절한 장바구니
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,쿠폰 스캔 불가능
ScotApp_41,제한 상품
ScotApp_31,쿠폰
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,카드를 통과시켜 주십시오.\n추가 상품에대해 장바구니를 확인해 주십시오.
ScotApp_689,  판매:      %d
ScotApp_589,Device Factory 로드 완료.
ScotApp_389,카드 처리 중
ScotApp_289,289unused
ScotApp_189,옵션 로드 완료.
ScotApp_91,91unused
ScotApp_773,저장된 금액:
ScotApp_673,고객에게 거스름돈 %s을(를) 지불해 주십시오.
ScotApp_1264,사용자 지정6
ScotApp_473,보충 필요.
ScotApp_373,프린터 걸림 꺼내기
ScotApp_989,989unused
ScotApp_889,%s\n실제 중량(%s): %s\n예상 중량(%s): %s
ScotApp_1520,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1042,배서 전표:\n배서 실패 때문에 이 전표가 \n인쇄되었습니다.  이 전표를 적절한\n문서에 첨부해 주시기 바랍니다.\n----------------------------------------\n
ScotApp_973,973unused
ScotApp_873,D.L. / I.D. 번호 입력:
ScotApp_1737,직접 가져온 장바구니
ScotApp_752,어제 요약
ScotApp_652, **UPS에 대한 WLDB 항목 없음
ScotApp_1054,1054unused
ScotApp_452,케이블이 동전 수납 장치 한쪽 면에 올바로 연결되어 있는지 확인해 주십시오.
ScotApp_352,업데이트
ScotApp_252,\n동전 지급 장치 걸림\n\n동전 지급 장치 걸림을 제거해 주십시오.
ScotApp_152,152unused
ScotApp_1310,* 지폐 수납 장치를 제거합니다.\n* 지폐 수납 장치가 고정될 때가지 다시 넣습닌다.\n* 지폐 수납 장치 모터가 켜져 있고 LED가 녹색으로 켜져 있는지 확인하십시오.
ScotApp_661,(기본 설정)
ScotApp_952,0 중량 추가
ScotApp_852,상품 3개
ScotApp_1527,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1838,상품 확인
ScotApp_731,요약
ScotApp_631,소유자 이름:
ScotApp_531,\n서명 캡처 장치 오류
ScotApp_331,봉투 저울에서 상품을 제거하십시오. 키보드 사용 불가능 설정.
ScotApp_231,231unused
ScotApp_131,쿠폰 투입
ScotApp_1736,장바구니를 장바구니 영역에 올려 주시고 ‘완료’를 눌러 주십시오.
ScotApp_1250,PIP 신용
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s 거스름돈 지급됨
ScotApp_710,710unused
ScotApp_610,상품 중량:
ScotApp_510,다시 서명
ScotApp_310,상자 용량이 부족합니다
ScotApp_210,210unused
ScotApp_110,상품 중량 측정
ScotApp_1526,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1126,동전 지급 장치 오류.\n\n지급 장치에 켜기/끄기 스위치가 있으면 이 스위치를 점검해 주십시오.
ScotApp_1040,서명
ScotApp_810, 교육 모드 
ScotApp_1735,장바구니를 올려 주십시오
ScotApp_1257,PIP 푸드 스탬프
ScotApp_704,PIN 패드 입력
ScotApp_604,상품을 스캔합니다.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,용기를 선택하십시오
ScotApp_204,파일을 서버에 복사 중...
ScotApp_104,104unused
ScotApp_1269,사용자 지정11
ScotApp_904,상품 중량 승인
ScotApp_804,804unused
ScotApp_1047,배서 필요. 오퍼레이터가 도와 드릴 때까지 잠시만 기다려 주십시오.
ScotApp_1478,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1134,지폐 카세트 가득 참.
ScotApp_1734,장바구니 지참
ScotApp_1256,PIP EBT
ScotApp_1512,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1465,현금 재활용 장치 에러
ScotApp_1721,교육 모드 거래
ScotApp_1890,처리 중...
ScotApp_1243,고객 관리
ScotApp_1544,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_63,아니요
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,직접 문제 해결 완료
ScotApp_1255,PIP 직불 수표
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_93,스캔 및 봉투
ScotApp_83,83unused
ScotApp_1464,터미널 번호
ScotApp_1189,입력된 상품
ScotApp_1720,제거된 무게:
ScotApp_1045,%s(으)로 지불
ScotApp_672,*** 교육 모드 거래 ***
ScotApp_572,"상품 코드를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_472,도움 필요
ScotApp_372,프린터 측면 통신 에러
ScotApp_272,사용한 쿠폰 확인
ScotApp_172,원하지 않는 상품을 스캔하거나 영수증에서 상품을 선택해 주십시오.
ScotApp_1510,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1701,%s 지급 실패.  
ScotApp_972,972unused
ScotApp_872,보류 취소
ScotApp_1188,입력된 수량
ScotApp_1727,상품 찾기
ScotApp_751,오늘 시간별
ScotApp_651,기본 설정
ScotApp_551,551unused
ScotApp_451,동전 수납 장치 상태 걸림
ScotApp_351,현금/용지 상태
ScotApp_251,251unused
ScotApp_151,현금을 받으십시오
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s 제거됨;LSWND3=%s;
ScotApp_851,상품 2개
ScotApp_730,730unused
ScotApp_630,신용 카드#:
ScotApp_430,서비스 제공하지 않음
ScotApp_330,도움 모드
ScotApp_230,현금 수납 장치 상태 거절됨
ScotApp_130,쿠폰을 투입해 주십시오.
ScotApp_1726,찾기 완료
ScotApp_930,통신을 점검해 주십시오.
ScotApp_830,상품 제거됨
ScotApp_193,193unused
ScotApp_1457,화폐 충분함
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,유효하지 않은 허용치 입력됨
ScotApp_424,수량 입력
ScotApp_324,출생 날짜 필요하지 않음
ScotApp_224,카드 리더 캡처 상자 제거됨
ScotApp_124,124unused
ScotApp_1469,고객에게 %s 지급 실패.  %s\n* 동전 및 지폐 공급 장치를 점검하십시오.\n* 보충이나 걸림 제거를 위해서 ‘현금/용지 상태’를 누르십시오.
ScotApp_924,924unused
ScotApp_824,보류 확인
ScotApp_576,카드 입찰 시작.
ScotApp_1247,푸드 스탬프
ScotApp_1678,SafePay
