AmountSaved,المبلغ المدخر
RebootSystemBtnPrimaryTxt,إعادة تحميل النظام بالكامل
VolumeBtnPrimaryTxt,التحكم بارتفاع الصوت
EventViewerBtnPrimaryTxt,Event Viewer
GenerateLogBtnPrimaryTxt,توليد ملفات سجل التشخيص
ExitFastLaneAndRunProfileBtnPrimaryTxt,أوقف SelfServ Checkout وشغل Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,تشغيل Profile Manager
TerminalInfoBtnPrimaryTxt,معلومات الجهاز 
MinMaxRAPBtnPrimaryTxt,تصغير نافذة RAP
MinMaxRAPBtnSecondaryTxt,تكبير نافذة RAP
MinMaxRAPBtnPrimaryShowConfirmation,"لتصغير نافذة RAP، المس زر ""Minimize RAP""."
MinMaxRAPBtnSecondaryShowConfirmation,"لتكبيرر نافذة RAP، المس زر ""Maximize RAP""."
StopStartRAPButtonPrimaryTxt,أوقف RAP
StopStartRAPButtonSecondaryTxt,ابدأ تشغيل RAP
RapConfigureBtnPrimaryTxt,تعريف RAP
SwitchToFastLaneBtnPrimaryTxt,التحول إلى SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,أوقف RAP وشغل Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,تشغيل Profile Manager
UtilityFunctionsTitle,NCR SelfServ Checkout\nوظائف المرفق
StartTitle,بداية تشغيل النظام
SystemStartup,يجري بدء تشغيل النظام...الرجاء الانتظار
TerminalID,هوية الجهاز: 
InterfaceVersion,إصدار البرنامج: 
TrainingProgramPrimaryTxt,برنامج التدريب
LaunchPadNet_OperatorIDText,هوية المشغل: 
KeySwitchOperatorID,إقفال المفاتيح
LaunchPadNet_SignOnButtonText,تسجيل الدخول
LaunchPadNet_SignOffButtonText,تسجيل الخروج
SignedOffButtonText,تم تسجيل الخروج
Exit,الخروج من الكل
LaunchPadNet_ReturnToShoppingButtonText,العودة
PickListEditor,أداة تعديل قائمة الاختيار
RunADDTxt,شغل الإضافة عند إعادة التحميل التالية
TouchWareTxt,معايرة الشاشة التي تعمل باللمس
DiagConfirm,هل أنت متأكد من أنك تريد توليد ملفات السجلات التشخيصية؟
ProfileManagerFLConfirm,هل أنت متأكد من أنك تريد إيقاف SelfServ Checkout وتشغيل Profile Manager؟
ProfileManagerRAPConfirm,هل أنت متأكد من أنك تريد إيقاف RAP وتشغيل Profile Manager؟
ProfileManagerConfirm,هل أنت واثق من أنك تريد تشغيل Profile Manager؟
EventViewerConfirm,هل أنت واثق من أنك تريد تشغيل Event Viewer
TrainingConfirm,هل أنت واثق من أنك تريد تشغيل برنامج التدريب
PicklistConfirm,هل أنت واثق من أنك تريد تشغيل أداة تعديل قائمة الاختيار؟
RunADDConfirm,هل أنت متأكد من أنك تريد تشغيل اكتشاف الأجهزة أوتوماتيكيا عند التحميل التالي؟
CalibrateConfirm,هل أنت واثق من أنك تريد معايرة الشاشة التي تعمل باللمس؟
ShutdownConfirm,هل أنت واثق من أنك تريد إيقاف تشغيل النظام بالكامل؟
RebootConfirm,هل أنت واثق من أنك تريد إعادة تحميل النظام بالكامل؟
CloseAllConfirm,هل أنت متأكد من أنك تريد الخروج من جميع التطبيقات والذهاب إلى سطح المكتب؟
VolumeConfirm,هل أنت واثق من أنك تريد تعديل درجة الصوت؟
TerminalInfoConfirm,هل أنت واثق من أنك تريد استعراض معلومات الجهاز؟
StopFastLaneConfirm,هل أنت واثق من أنك تريد إيقاف SelfServ Checkout؟
StopRAPConfirm,هل أنت واثق من أنك تريد إيقاف RAP؟
StartFastLaneConfirm,هل أنت واثق من أنك تريد تشغيل SelfServ Checkout؟
StartRAPConfirm,هل أنت واثق من أنك تريد تشغيل RAP؟
WindowsLogOnTxt,الدخول إلى ويندوز
WindowsLogOnConfirm,هل أنت متأكد من أنك تريد الخروج من جميع التطبيقات وتسجيل الدخول باسم مستخدم جديد؟
YesText,نعم
NoText,لا
CommandPromptPrimaryTxt,Command Prompt
CommandPromptConfirm,هل أنت واثق من أنك تريد تشغيل Command Prompt؟
RSMLEPrimaryTxt,Retail Systems Manager LE
RSMLEConfirm,هل أنت واثق من أنك تريد تشغيل Retail Systems Manager LE؟
OperatorRegistrationUtility,مرفق تسجيل المشغل
LaunchPadNet_EnterIDFpLeadthru,أدخل الهوية باستخدام لوحة المفاتيح أو استخدام آلة المقاييس الحيوية لتسجيل الدخول.
LaunchPadNet_ReEnterIDFpLeadthru,تسجيل دخول غير صحيح. نرجو تسجيل الدخول مجددا باستخدام لوحة المفاتيح أو بصمة الإصبع.				
LaunchPadNet_ClearButtonText,مسح
LaunchPadNet_EnterButtonText,إدخال
LaunchPadNet_GoBackButtonText,العودة
LaunchPadNet_SpaceButtonText,مسافة
LaunchPadNet_BackSpaceButtonText,محو
LaunchPadNet_EnterIDLeadthru,أدخل الهوية باستخدام لوحة المفاتيح أدناه:
ReEnterIDLeadthru,هوية أو كلمة مرور غير صحيحة. نرجو إعادة إدخالها باستخدام لوحة المفاتيح أدناه.
LaunchPadNet_EnterPasswordLeadthru,أدخل كلمة المرور باستخدام لوحة المفاتيح أدناه:
CancelButtonText,إلغاء
LaunchPadNet_LoggingInLeadthru,يجري تسجيل الدخول... الرجاء الانتظار
LaunchPadNet_ShiftButtonText,تحول
LaunchPadNet_SignedOffButtonText,تم تسجيل الخروج
LaunchPadNet_ReEnterIDLeadthru,هوية أو كلمة مرور غير صحيحة. نرجو إعادة إدخالها باستخدام لوحة المفاتيح أدناه.
LegalCaptionText,تعليق قانوني\nهذا النظام لاستخدام الموظفين المخولين فقط. بتسجيل الدخول إلى هذا النظام، تخضع لشروط وأحكام كل سياسات أمن المعلومات ومعاييرها. إن استخدامها من قبل أشخاص غير مصرح لهم أو لأغراض غير مصرح بها هو انتهاك لقانون فدرالي و/أو قانون الولاية. تحتفظ الشركة بحقها في اتخاذ أية إجراءات لازمة لحماية المستخدمين المخولين والملكية الفكرية والأصول المعلوماتية الأخرى. يخضع مستخدمو هذا النظام لاحتمال مراقبة جميع نشاطاتهم على هذا النظام. أي شخص يستخدم هذا النظام يقبل بهذه الرقابة بوضوح ويعلم أنه لو كشفت هذه الرقابة عن دليل على أي نشاط إجرامي، قد يقوم الموظف المسؤول عن النظام بتقديم هذا الدليل الناتج عن المراقبة إلى مسؤولي تطبيق القانون.\n
SignBelow,ضع توقيعك أدناه.
PageIndicatorLabelFormat,صفحة {0} من {1}
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_AddCashLeadthru1,"Insert coins or touch cylinder and enter amount, or set counts."
XM_AddCashLeadthru2,"Insert cash or touch cylinder and enter amount, or set counts."
XM_AddCashLeadthru3,"Touch cylinder and enter amount, or set counts."
XM_AreYouSure_LockScreen,Are you sure you want to lock the screen? \nThe screen cannot be unlocked until the devices finish their task.
XM_CalculatedPickUpAmount,The calculated pickup amount is %s.
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_Cassette,Cassette
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_CoinAllowedDispenseExceeded,Attempting to dispense %d coins. Maximum coins allowed to dispense is %d.
XM_Collect,Collect
XM_CollectFailure,The collect operation resulted in failure.
XM_DispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 15. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_DispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 15.  Dispensing will pause until all bills are taken.
XM_EmptyCassetteAndRejectBin,Remove bills from Bill Cassettes and Reject Bin.
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly.  Dispensing will pause until bowl is emptied."
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
XM_GrandTotalText,Grand Total: %s
XM_InitializeError,The system encounters an error to be corrected.
XM_InvalidPickUpAmount,The value entered is greater than the available amount that can be transferred or dispensed.
XM_InvalidPickUpAmount2,The amount in the cashbox and coin overflow is greater than the pickup amount.
XM_InvalidStartingBank,The starting bank configured is greater than the available amount that can be transferred or dispensed.
XM_KeyPadEnterPickUpAmount,Enter pickup amount using keypad.
XM_LeadThruCashBoxTransfer,"Select desired transfer function. When finished, ""Apply Changes""."
XM_LeadThruDispenseFunction,"Touch denomination and enter amount or touch ""Dispense Coins to Base Level""."
XM_LeadThruGloryFunction,"Touch denomination and enter amount or touch ""Collect""."
XM_LeadThruPickUpFunction,"Select desired pick up function. When finished, ""Apply Changes""."
XM_LeadThruResetFunction,"Select desired reset function. When finished, ""Apply Changes""."
XM_LockScreen,Lock Screen
XM_ManualBothRecyclerFillAlert,Open lane door and deposit bills into the loader and coins into the hoppers. Do not feed them into the acceptors.
XM_ManualNoteRecyclerFillAlert,Open lane door and deposit bills directly into the loader. Do not feed them into the bill acceptor.
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s
XM_MenuCashBoxTransfer,Cash Box Transfers
XM_MenuDispenseFunctions,Dispense Functions
XM_MenuPickUpFunctions,Pick Up Functions
XM_MenuResetFunctions,Reset Functions
XM_NegativeAlert,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
XM_NegativeAlert_Remove,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
XM_OperatorID,Operator ID %s
XM_PickUpAutoAmount,Pick Up Auto Amount
XM_PickUpXAmount,Pick Up (x) Amount
XM_PlaceJammedBill,Remove the cash box and place any jammed bills inside.
XM_PurgeInstruction,Purge Operations: Rejected bills detected. Go to lane and check device.
XM_PurgeInstructionNonRecycler,"Purge Operations: Rejected bills detected.  Remove rejected bills from purge bin.  Clear alert by touching ""Reset Bill Counts""."
XM_PurgeInstructionRecycler,"Purge Operations:  Rejected bills detected.  Remove rejected bills from cash box.  Clear alert by touching ""Transfer All Bills"" and then ""Reset Cash Box""."
XM_RAP_NegativeAlert,Negative number found. Go to lane and check device.
XM_ReplenishInstruction,"Insert cash or select denomination and enter amount, or set counts. When finished, ""Apply Changes"""
XM_SystemBusy,System busy....Please wait
XM_TotalAddedText,Total Added: %s
XM_TotalCoinsInserted,Total Inserted
XM_TotalColectedText,Total Collected: %s
XM_TotalNotesInserted,Total Inserted
XM_TotalRemovedText,Total Removed: %s
XM_TransfertoCashBoxLeadThruText,"To transfer %s bill(s) to the Cash Box, touch ""Apply Changes"". To undo all pending changes, touch ""Cancel Changes""."
XM_TransferXAmount,Transfer (x) Amount
XM_TransferXCount,Transfer (x) Count
XM_UnableToPickUp,Unable to perform pickup.
XM_Value,Value
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
DueCart,مستحق
ScotApp_1742,كيس غير صحيح
ScotApp_71,71 غير مستخدمة
ScotApp_61,61 غير مستخدمة
ScotApp_51,تعذر مسح القسيمة
ScotApp_41,سلع خاضعة لقيود
ScotApp_31,القسائم
ScotApp_1055,1055 غير مستخدمة
ScotApp_11,11 غير مستخدمة
ScotApp_789,مرر بطاقتك. \nنرجو البحث في السلة عن سلع إضافية.
ScotApp_689,    المبيعات:      %d
ScotApp_589,تم تحميل معمل الأجهزة.
ScotApp_389,بطاقة المعالجة
ScotApp_289,289 غير مستخدمة
ScotApp_189,تم تحميل الخيارات.
ScotApp_91,91 غير مستخدمة
ScotApp_773,المبلغ المدخر:
ScotApp_673,نرجو تزويد العميل بما قدره %s من الباقي.
ScotApp_1264,محدد من قبل المستخدم6
ScotApp_473,مستوى الوسط منخفض
ScotApp_373,انسداد في مخرج الطابعة
ScotApp_989,989 غير مستخدمة
ScotApp_889,%s\nالوزن الفعلي(%s): %s\nالأوزان المتوقعة (%s): %s
ScotApp_1520,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1042,مذكرة إقرار:\nتمت طباعة هذا لأن إقرار الوثيقة\nفشل.  نرجو إرفاق هذه المذكرة\nبالوثيقة الصحيحة.\n--------------------------------------------------------------------------------\n
ScotApp_973,973 غير مستخدمة
ScotApp_873,إدخال رقم D.L. / I.D.:
ScotApp_1737,كيس خاص
ScotApp_752,ملخص الأمس
ScotApp_652,  **لا توجد قيود WLDB لكود المنتج العالمي هذا
ScotApp_1054,1054 غير مستخدمة
ScotApp_452,تأكد من توصيل الكابل بإحكام في جانب متلقي النقود المعدنية.
ScotApp_352,تحديث
ScotApp_252,\nانسداد صراف النقود المعدنية\n\nتخلص من انسداد صراف النقود المعدنية.
ScotApp_152,152 غير مستخدمة
ScotApp_1310,* أزل متلقي الأوراق النقدية. \n* أعد إدخال متلقي الأوراق النقدية حتى يثبت في مكانه. \n* تأكد من عمل محرك متلقي الأوراق النقدية ومن أن نور المؤشر أخضر.
ScotApp_661,(Def)
ScotApp_952,عدم إضافة وزن
ScotApp_852,ثلاث سلع
ScotApp_1527,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1838,Verify Item
ScotApp_731,ملخص
ScotApp_631,اسم المالك:
ScotApp_531,\nخلل في آلة التقاط التوقيع
ScotApp_331,أزل السلع عن ميزان الأكياس. لوحة المفاتيح معطلة.
ScotApp_231,231 غير مستخدمة
ScotApp_131,إيداع القسائم
ScotApp_1736,"نرجو وضع أكياسك في منطقة التعبئة في أكياس والمس ""انتهى"" عندما تنتهي."
ScotApp_1250,PIP إضافة
ScotApp_831,831 غير مستخدمة
ScotApp_300,300 غير مستخدمة
ScotApp_1306,تم صرف %s باقي
ScotApp_710,710 غير مستخدمة
ScotApp_610,وزن السلعة:
ScotApp_510,وقع مرة أخرى
ScotApp_310,الصندوق منخفض
ScotApp_210,210 غير مستخدمة
ScotApp_110,زن السلعة
ScotApp_1526,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1126,فشل في صراف النقود المعدنية. \n\nافحص مفتاح التشغيل والتوقيف إن وجد على الصراف.
ScotApp_1040,الإمضاء
ScotApp_810,  قيد التدريب
ScotApp_1735,ضع أكياسك
ScotApp_1257,PIP قسائم الطعام
ScotApp_704,قيد حشية الرقم السري
ScotApp_604,مسح سلعة.
ScotApp_504,504 غير مستخدمة
ScotApp_404,404 غير مستخدمة
ScotApp_304,اختر الوعاء
ScotApp_204,نسخ الملف إلى الخادم...
ScotApp_104,104 غير مستخدمة
ScotApp_1269,محدد من قبل المستخدم11
ScotApp_904,الموافقة على وزن السلعة
ScotApp_804,804 غير مستخدمة
ScotApp_1047,الإقرار مطلوب. نرجو انتظار مساعدة المشغل.
ScotApp_1478,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1134,علبة الأوراق ممتلئة.
ScotApp_1734,اشتريت كيسي الخاص
ScotApp_1256,PIP EBT
ScotApp_1512,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1465,خطأ في آلة إعادة تدوير النقود
ScotApp_1721,عملية وضعية تدريب
ScotApp_1890,Pجري المعالجة...
ScotApp_1243,ولاء
ScotApp_1544,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_63,لا
ScotApp_53,53 غير مستخدمة
ScotApp_43,43 غير مستخدمة
ScotApp_33,صححت المشكلة
ScotApp_1255,PIP فحص الخصم
ScotApp_13,    %ss بسعر %s/%s
ScotApp_1511,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_93,المسح والتعبئة في الأكياس
ScotApp_83,83 غير مستخدمة
ScotApp_1464,رقم الآلة
ScotApp_1189,السلعة المدخلة
ScotApp_1720,WR:
ScotApp_1045,ادفع بواسطة %s
ScotApp_672,*** عملية وضعية تدريب ***
ScotApp_572,"اطبع رمز السلعة والمس ""إدخال""."
ScotApp_472,المساعدة مطلوبة
ScotApp_372,خطأ اتصال جانبي بالطابعة
ScotApp_272,فحص القسائم المستخدمة
ScotApp_172,امسح السلعة غير المرغوبة أو اختر السلعة على الوصل.
ScotApp_1510,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1701,فشل في صرف %s.
ScotApp_972,972 غير مستخدمة
ScotApp_872,إلغاء التعليق
ScotApp_1188,الكمية المدخلة
ScotApp_1727,البحث عن السلعة
ScotApp_751,اليوم في الساعة
ScotApp_651,تلقائي
ScotApp_551,551 غير مستخدمة
ScotApp_451,انسداد حالة متلقي البطاقات
ScotApp_351,حالة النقود / الورق
ScotApp_251,251 غير مستخدمة
ScotApp_151,نرجو أخذ النقود
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s تمت إزالة;LSWND3=%s;
ScotApp_851,سلعتان
ScotApp_730,730 غير مستخدمة
ScotApp_630,بطاقة الائتمان#:
ScotApp_430,خارج الخدمة
ScotApp_330,وضعية المساعدة
ScotApp_230,تم رفض حالة متلقي البطاقات
ScotApp_130,نرجو إيداع قسائمك.
ScotApp_1726,انتهت عملية البحث
ScotApp_930,افحص الاتصال.
ScotApp_830,أزلت السلعة أو الكيس
ScotApp_193,193 غير مستخدمة
ScotApp_1457,العملة مرتفعة
ScotApp_1283,1283 غير مستخدمة
ScotApp_724,724 غير مستخدمة
ScotApp_624,تم إدخال درجة تحمل غير صحيحة
ScotApp_424,أدخل المبلغ
ScotApp_324,لا حاجة إلى التاريخ
ScotApp_224,تمت إزالة صندوق الالتقاط في قارئ البطاقات 
ScotApp_124,124 غير مستخدمة
ScotApp_1469,"فشل في صرف %s للعميل. %s\n* افحص صرافي النقود الورقية والمعدنية. \n* المس ""حالة النقد/الورق"" لإعادة التعبئة أو لإزالة الانسداد."
ScotApp_924,924 غير مستخدمة
ScotApp_824,تعليق التأكيد
ScotApp_576,بداية عرض البطاقة.
ScotApp_1247,قسائم الطعام
ScotApp_1678,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_1503,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1756,"اختر من نتائج البحث أو ""العودة""."
ScotApp_1456,رقم المحاسب وكلمة المرور غير صحيحين. \nنرجو المحاولة مرة أخرى.
ScotApp_1502,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1712,تم رفض التعليق
ScotApp_1468,آلة إعادة تدوير النقود فارغة
ScotApp_1246,EBT
ScotApp_75,انتهى
ScotApp_65,65 غير مستخدمة
ScotApp_55,إلغاء الكل
ScotApp_45,45 غير مستخدمة
ScotApp_35,موعد التغيير: 
ScotApp_1258,PIP بطاقة الهدية
ScotApp_15,رمز السلعة:
ScotApp_1711,تم رفض التعليق
ScotApp_1683,خطأ لا يمكن إصلاحه.  نرجو إغلاق الممر.  اتصل بـGunnebo وقدم لهم معلومات الخطأ المبينة أدناه.\n\n خطأ في SafePay: %s
ScotApp_95,مسح القسائم
ScotApp_85,85 غير مستخدمة
ScotApp_1058,عرض خاضع للمساعدة
ScotApp_1664,أوراق نقدية عالقة
ScotApp_797,فشل في صرف %s للعميل.\n* افحص الأوراق النقدية في العلب وتأكد من عدم وجود انسداد في صراف الأوراق النقدية.\n* احرص على تثبيت علبة الأوراق النقدية وصندوق التالف.\n* أغلق باب الخزنة.
ScotApp_697,697 غير مستخدمة
ScotApp_597,يجري تحميل أشكال NCR SelfServ Checkout %d...
ScotApp_497,المبلغ المستحق:
ScotApp_297,297 غير مستخدمة
ScotApp_197,تم تحميل خدمات العرض.
ScotApp_997,أدخل السعر
ScotApp_897,تم تحميل WTINFO.
ScotApp_1454,"اطبع كلمة المرور والمس ""إدخال""."
ScotApp_1710,خذ نقودك المردودة
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s المتوقع؛;LSWND3=%s %s الملاحظ
ScotApp_1388,برنامج التدريب
ScotApp_771,إلغاء التعليق
ScotApp_671,اخرج من وضعية التدريب
ScotApp_571,"اطبع الكمية والمس ""إدخال""."
ScotApp_471,      التوثيق البصري
ScotApp_371,استبدل رأس الطابعة
ScotApp_271,الموافقة على القسائم المستخدمة
ScotApp_971,971 غير مستخدمة
ScotApp_871,تأكيد التعليق
ScotApp_1840,Store #:
ScotApp_750,ملخص اليوم
ScotApp_650,منتج عادي
ScotApp_550,550 غير مستخدمة
ScotApp_450,450 غير مستخدمة
ScotApp_350,حالة النقود / الورق
ScotApp_250,250 غير مستخدمة
ScotApp_150,اختر مبلغ الباقي
ScotApp_1773,"المس ""الموافقة على القسيمة"" لقبول القسيمة أو اذهب إلى وضعية المساعدة لإلغائها."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s تمت إضافة;LSWND3=%s;
ScotApp_850,سلعة واحدة
ScotApp_1405,نقطة البيع غير متزامنة، نرجو الذهاب إلى وضعية المساعدة لإعادة المزامنة.
ScotApp_1513,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1657,قسم غير صحيح
ScotApp_1225,سلعة غير معروفة
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,لا يمكن أن تكون كلمة المرور أكثر من %d خانات.
ScotApp_444,قسائم الطعام
ScotApp_344,344 غير مستخدمة
ScotApp_244,244 غير مستخدمة
ScotApp_144,مقارنة التوقيع
ScotApp_1590,الصندوق %s النقود المعدنية عالقة
ScotApp_1669,خطأ في جهاز إعادة تدوير النقود الورقية/المعدنية
ScotApp_944,طلبات كثيرة للتعبئة في كيس/صندوق.  الأقصى = %d.
ScotApp_844,844 غير مستخدمة
ScotApp_1729,البحث عن السلع:
ScotApp_1447,إزالة النقود
ScotApp_1703,(+)
ScotApp_1656,"اطبع رمز القسم والمس ""إدخال""."
ScotApp_915,طلبات كثيرة لتخطي الحزام.  الأقصى = %d.
ScotApp_1668,قد يكون هناك أوراق نقدية عالقة في المنطقة المبينة. افتح الغطاء العلوي لجهاز إعادة تدوير النقود الورقية. أزل أية أوراق عالقة قد تجدها.  أغلق الوحدة وأعد الغطاء إلى مكانة.  تابع العملية.
ScotApp_1542,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1139,باب صراف الأوراق مفتوح.
ScotApp_1254,PIP مدخرات الخصم
ScotApp_1249,PIP عام
ScotApp_77,رصيد
ScotApp_67,العودة
ScotApp_57,الإنهاء والدفع
ScotApp_47,بداية
ScotApp_37,37 غير مستخدمة
ScotApp_1458,تقرير NCR SelfServ Checkout
ScotApp_17,القسيمة
ScotApp_1752,الوزن على الميزان يفوق السعة.
ScotApp_1643,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_97,اختر الوعاء من القائمة
ScotApp_87,87 غير مستخدمة
ScotApp_1665,افتح العلبة وأزلها.  أزل الأوراق النقدية العالقة.  أعد إدخال العلبة. أغلق وحدة إعادة التدوير. تابع العملية.
ScotApp_1138,فشل في صرف %s.
ScotApp_1589,نفدت النقود المعدنية
ScotApp_1445,تغير في العد
ScotApp_1318,مسح الكوبونات
ScotApp_1654,التعداد يتجاوز السعة. أقصى حد لازم للتعداد هو %d. تم إدخال %d تلقائيا.
ScotApp_796,"نقص في النقود المعدنية أو خطأ/توقف عمل في صراف النقود المعدنية. \n* شغل صراف النقود المعدنية، أو\n* أعد تعبئة صراف النقود المعدنية وأوقف تشغيله ثم شغله مجددا، المس ""تمت تعبئة صراف النقود المعدنية"" - شاشة حالة الممر."
ScotApp_696,696 غير مستخدمة
ScotApp_596,تم تحميل NCR SelfServ Checkout AuxDisp.
ScotApp_1391,"المس ""حللت المشكلة"". \nإذا استمر الخطأ، أوقف تشغيل الجهاز وأعد تشغيله."
ScotApp_396,كانت مساعدة المتجر مطلوبة من أجل:
ScotApp_296,296 غير مستخدمة
ScotApp_196,تحميل خدمات العرض جار...
ScotApp_1588,"يجب تفريغ كل صندوق قبل اختيار زر ""استلام الصراف"".  أفرغ كل صندوق ملقم نقود معدنية والمس ""استلام الصراف""."
ScotApp_996,إدخال السعر
ScotApp_896,يجري تحميل WTINFO...
ScotApp_574,"اطبع كلمة المرور والمس ""إدخال"""
ScotApp_1093,طباعة آخر وصل
ScotApp_1641,أعد تعبئة ملقم النقود المعدنية وتابع.  إذا لم يتم صرف نقود معدنية، قد يكون الملقم مغلقا.  نرجو طلب الصيانة. \n\nخطأ في SafePay: %s
ScotApp_1781,شكرا انتهى
ScotApp_562,يجب بيع القسائم في وضعية المساعدة
ScotApp_874,"اطبع # D.L. أو I.D. والمس ""إدخال""."
ScotApp_1124,1124 غير مستخدمة
ScotApp_770,تأكيد التعليق
ScotApp_670,أدخل وضعية التدريب
ScotApp_570,570 غير مستخدمة
ScotApp_470,      مقيدة بالعمر
ScotApp_370,الطابعة مفتوحة
ScotApp_270,الموافقة على القسائم
ScotApp_170,أزل السلعة عن الميزان واضغط على زر “<0>” على الماسحة الضوئية.
ScotApp_1640,خطأ في الملقم
ScotApp_870,التنبيهات:
ScotApp_1733,"اختر ""العودة"" للمتابعة."
ScotApp_1553,حالة العملة المرتفعة:
ScotApp_664,امسح سلعك أو اختر اللغة.
ScotApp_564,564 غير مستخدمة
ScotApp_464,%s               %s
ScotApp_364,364 غير مستخدمة
ScotApp_264,264 غير مستخدمة
ScotApp_964,"أزل السلعة والمس ""مسح أمني""، أو المس ""موافقة & تحديث الوزن""."
ScotApp_864,الموافقة:
ScotApp_1647,(الشهر اليوم السنة)
ScotApp_1119,لن يعمل صراف الأوراق وباب الدخول مفتوح. \n\nأغلق وأقفل باب الصراف أو باب الخزنة.\n\nإذا تكرر الخطأ، اطلب الصيانة.
ScotApp_1659,طباعة الوصل
ScotApp_819,تأكيد تعليق السلعة الملغاة.
ScotApp_1339,إعادة تحميل النظام بالكامل
ScotApp_1582,حالة الإعلام
ScotApp_1154,خطأ في الماسحة الضوئية
ScotApp_1117,%s علبة صراف الأوراق النقدية خارج موضعها أو غير مثبتة بإحكام. \n\n ركب أو أعد علبة الأوراق النقدية %s إلى مكانها حتى تثبت.
ScotApp_1294,ص - ق
ScotApp_1030,أدخل قسيمتك.
ScotApp_1658,نرجو التأكد من أن العميل تسلم الباقي الصحيح.
ScotApp_1421,وضعية المساعدة
ScotApp_709,709 غير مستخدمة
ScotApp_1129,لم يتم الإجراء التصحيحي بالشكل الصحيح. \n\nنرجو المحاولة مجددا.
ScotApp_509,509 غير مستخدمة
ScotApp_409,رسالة النظام
ScotApp_309,دولار
ScotApp_209,وقف البرنامج
ScotApp_109,هل تريد المتابعة؟
ScotApp_1338,الحصول على ملفات التشخيص
ScotApp_909,وزن غير صحيح على الميزان الأمني.
ScotApp_809,رسالة نقطة البيع:
ScotApp_1645,تأكد من تثبيت غطاء الأوراق النقدية بإحكام.
ScotApp_1116,لن يعمل صراف الأوراق إذا كان صندوق الأوراق المرفوضة غير موجود ومثبت بإحكام في مكانه. \n\nأدخل صندوق الأوراق المرفوضة وتأكد من تثبيته.
ScotApp_1128,%s\n
ScotApp_1452,"اطبع الهوية والمس ""إدخال""."
ScotApp_183,183 غير مستخدمة
ScotApp_1450,الصندوق المغلق
ScotApp_1293,ف
